"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"삭제","Video shooting","중단 2","레일 포인트 삭제","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","촬영 경로의 포인트를 삭제합니다."
"캠방향","Video shooting","하단 1","레일 위에 방향 설정","레일의 원하는 곳에서 오른쪽 컨트롤러 포인터 → 트리거 누른 상태로 배치","레일 위 특정 위치에서 카메라의 방향을 설정합니다."
"캠이동속도","Video shooting","하단 2","레일 위에 속도 편집","레일의 원하는 곳에서 오른쪽 컨트롤러 포인터 → 트리거 누른 상태로 배치","레일 위 특정 위치에서 카메라 이동 속도를 조절합니다."
"카메라 각도","Video shooting","하단 3","레일 위에 지나는 카메라 각도 편집","레일의 원하는 곳에서 오른쪽 컨트롤러 포인터 → 트리거 누른 상태로 배치","레일 위 특정 위치에서 카메라 시아 각도를 조절합니다."
".gif","Camera setting","상단 3",".Gif","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1",".gif 촬영 기능을 시작합니다."
".Gif",".Gif","중앙 부 촬영","-","오른 컨트롤러 위 뷰로 확인 하며 트리거를 적당 시간 눌러 촬영 최대 5초","최대 5초 동안 .gif 촬영을 진행하며, 메인 사용 손 위쪽 뷰어로 촬영 각도를 확인 할 수 있습니다."
"라이브","Camera setting","하단 1","Live","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","라이브 방송 기능을 시작하거나 조작합니다."
"시작/ 멈춤","Live","상단 1","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","라이브 방송을 시작하거나 멈춥니다."
"종료","Live","상단 2","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","라이브 방송을 종료합니다."
"반응보기","Live","상단 3","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","라이브 방송 중 시청자 반응을 표시하거나 숨길 수 있습니다."
"설정","Function panel 2","하단 2","Setting","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","전체 설정 메뉴를 열어 다양한 옵션을 조절합니다."
"도움말","Setting","상단 1","Help","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","사용법 및 도움말 정보를 제공합니다."
"손 변경","Setting","상단 2","바로 아이콘 변경","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","인터페이스에서 메인 사용 손을 변경합니다."
"언어","Setting","상단 3","Language","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","사용 언어를 선택하거나 변경합니다."
"Language","Language","3*2","클릭 된 칸은 반전 컬러로 표시","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","언어 선택 메뉴에서 활성화된 항목은 반전 컬러로 표시됩니다."
"AI 서버 연결","Setting","하단 1","AI Consent","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","AI 사용을 위해 데이터 사용 동의 절차를 진행합니다."
"AI Consent","AI Consent","동의 / 비동의","아이콘에 표시해 줌","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","AI 서비스 이용 동의 여부를 확인합니다."
"데이터 수집 설정","Setting","하단 2","Data Consent","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","데이터 수집 사용 동의 절차를 진행합니다."
"Data Consent","Data Consent","동의 / 비동의","아이콘에 표시해 줌","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","데이터 수집 사용 동의 여부를 확인합니다."
"멀티","Function panel 2","하단 3","Multi Start","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이어 시작 메뉴를 엽니다."
"방번호","Multi Start","상단","키보드","키보드에 오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이어를 위한 방 번호가 표시되며 이름 부분을 클릭하여 변경할 수 있습니다."
"비밀번호","Multi Start","중단","키보드","키보드에 오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","멀티플레이어를 위한 방의 비밀번호를 설정할 수 있습니다. 빈 칸을 클릭하여 변경할 수 있습니다."
"생성","Multi Start","하단1","User Management","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","새 멀티플레이어 방을 생성합니다."
